国家,中华人民共和国,
省/直辖市,浙江省,
市,杭州市,
县/区,全市,
开始时间,2019年01月01日 00时,
结束时间,2019年01月31日 23时,
时区,GMT+08:00,
数据源,欧洲中期天气中心,
,,
日期,时间,降水量mm/h
2019-01-01,00:00:00,0.006142369066563696
2019-01-01,01:00:00,0.00407308481812621
2019-01-01,02:00:00,0.006567862574216387
2019-01-01,03:00:00,0.004385034717433832
2019-01-01,04:00:00,0.008778191262162265
2019-01-01,05:00:00,0.012865992553675697
2019-01-01,06:00:00,0.010838173588742383
2019-01-01,07:00:00,0.010168043698500164
2019-01-01,08:00:00,0.008677174580109585
2019-01-01,09:00:00,0.006999427986963937
2019-01-01,10:00:00,0.005933625635591364
2019-01-01,11:00:00,0.005420047530889147
2019-01-01,12:00:00,0.0052524138830129154
2019-01-01,13:00:00,0.005245054225440334
2019-01-01,14:00:00,0.00610595882841641
2019-01-01,15:00:00,0.005434427909395524
2019-01-01,16:00:00,0.006257590146010804
2019-01-01,17:00:00,0.01843737653822769
2019-01-01,18:00:00,0.06210029612548318
2019-01-01,19:00:00,0.12700312049818527
2019-01-01,20:00:00,0.26152498107556327
2019-01-01,21:00:00,0.4748670517681654
2019-01-01,22:00:00,0.7123584722428354
2019-01-01,23:00:00,0.8761884602188479
2019-01-02,00:00:00,0.9145059767256591
2019-01-02,01:00:00,0.7452000279519684
2019-01-02,02:00:00,0.5020292907458849
2019-01-02,03:00:00,0.2680655480025949
2019-01-02,04:00:00,0.14357173772528
2019-01-02,05:00:00,0.07859631682953903
2019-01-02,06:00:00,0.06334296212482227
2019-01-02,07:00:00,0.061860694807511336
2019-01-02,08:00:00,0.04703836729994091
2019-01-02,09:00:00,0.03516331320416905
2019-01-02,10:00:00,0.03031054718522901
2019-01-02,11:00:00,0.04035722640726624
2019-01-02,12:00:00,0.06619757567885443
2019-01-02,13:00:00,0.13238225697064868
2019-01-02,14:00:00,0.5368544306560215
2019-01-02,15:00:00,0.5824111355542648
2019-01-02,16:00:00,0.5474595189133731
2019-01-02,17:00:00,0.5156924006377899
2019-01-02,18:00:00,0.45919120492142834
2019-01-02,19:00:00,0.3619384841463807
2019-01-02,20:00:00,0.27405157375710043
2019-01-02,21:00:00,0.1938406184904882
2019-01-02,22:00:00,0.11110956892680922
2019-01-02,23:00:00,0.05718630012378349
2019-01-03,00:00:00,0.025317480951322472
2019-01-03,01:00:00,0.00817807766257859
2019-01-03,02:00:00,0.0030482903379994517
2019-01-03,03:00:00,0.0008796447538285379
2019-01-03,04:00:00,0.0004795326032293614
2019-01-03,05:00:00,0.0029008568049691485
2019-01-03,06:00:00,0.0037647563209565957
2019-01-03,07:00:00,0.0004177927204401307
2019-01-03,08:00:00,0.00035328133870516065
2019-01-03,09:00:00,0.000473753831261219
2019-01-03,10:00:00,0.0008918917677715799
2019-01-03,11:00:00,0.0012646830410901141
2019-01-03,12:00:00,0.00039816280629093015
2019-01-03,13:00:00,0.0003164477932817771
2019-01-03,14:00:00,0.010023427715309334
2019-01-03,15:00:00,0.0004150913427908769
2019-01-03,16:00:00,0.0003950397387273252
2019-01-03,17:00:00,0.00039758181614317104
2019-01-03,18:00:00,0.0011350091661760547
2019-01-03,19:00:00,0.0050694814641690095
2019-01-03,20:00:00,0.014878706273423612
2019-01-03,21:00:00,0.035494593822039934
2019-01-03,22:00:00,0.1019676516116986
2019-01-03,23:00:00,0.22187318850502558
2019-01-04,00:00:00,0.3662996197111388
2019-01-04,01:00:00,0.343841877890502
2019-01-04,02:00:00,0.126672108556761
2019-01-04,03:00:00,0.25255152852477
2019-01-04,04:00:00,0.59112466118324
2019-01-04,05:00:00,1.1013939749785346
2019-01-04,06:00:00,1.3261735565249497
2019-01-04,07:00:00,1.1080388924094497
2019-01-04,08:00:00,0.5274941980233956
2019-01-04,09:00:00,0.29962484651016164
2019-01-04,10:00:00,0.31574026565539903
2019-01-04,11:00:00,0.39179906864053693
2019-01-04,12:00:00,0.6370584167770119
2019-01-04,13:00:00,0.7436721649393007
2019-01-04,14:00:00,0.20547832876653874
2019-01-04,15:00:00,0.4376425812013378
2019-01-04,16:00:00,0.960671641035989
2019-01-04,17:00:00,1.101214243106799
2019-01-04,18:00:00,0.8454751913763862
2019-01-04,19:00:00,0.7226346568649085
2019-01-04,20:00:00,0.7943694567012732
2019-01-04,21:00:00,0.5345005528551289
2019-01-04,22:00:00,0.5954358166642306
2019-01-04,23:00:00,0.7016329358525528
2019-01-05,00:00:00,0.8602304245986838
2019-01-05,01:00:00,0.9437331069078613
2019-01-05,02:00:00,1.2059466132762515
2019-01-05,03:00:00,1.2579875857837015
2019-01-05,04:00:00,0.889402757691309
2019-01-05,05:00:00,0.8546143930064911
2019-01-05,06:00:00,0.7428844907861054
2019-01-05,07:00:00,0.4184951234340428
2019-01-05,08:00:00,0.14382823396068778
2019-01-05,09:00:00,0.02328307520128647
2019-01-05,10:00:00,0.0403230776174904
2019-01-05,11:00:00,0.04764072237492528
2019-01-05,12:00:00,0.08446605478230841
2019-01-05,13:00:00,0.1286521662267081
2019-01-05,14:00:00,0.18079615021356046
2019-01-05,15:00:00,0.24843124158544128
2019-01-05,16:00:00,0.29033869954543245
2019-01-05,17:00:00,0.4768945857031692
2019-01-05,18:00:00,0.6383772030663317
2019-01-05,19:00:00,0.5412140485075783
2019-01-05,20:00:00,0.32668127301852445
2019-01-05,21:00:00,0.10755535997545508
2019-01-05,22:00:00,0.01540066639562773
2019-01-05,23:00:00,0.003122206496383065
2019-01-06,00:00:00,0.004025269176882601
2019-01-06,01:00:00,0.02000157536564139
2019-01-06,02:00:00,0.013042188433474343
2019-01-06,03:00:00,0.017996596141678006
2019-01-06,04:00:00,0.02099662092655218
